a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20250512.1-1
acl 2.3.2-1
adwaita-cursors 48.1-1
adwaita-fonts 48.2-1
adwaita-icon-theme 48.1-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.5-1
alsa-lib 1.2.14-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
anthy 9100h-7
aom 3.12.1-1
apparmor 4.1.1-1
appmenu-glib-translator-git 25.04.r2.gf05d28d-1
appmenu-glib-translator-git-debug 25.04.r2.gf05d28d-1
appstream 1.0.5-2
appstream-glib 0.8.3-2
aquamarine 0.9.1-1
arch-install-scripts 29-1
archlinux-keyring 20250430.1-1
aribb24 1.0.3-4
ascii-rain-git r10.51660fd-1
ascii-rain-git-debug r10.51660fd-1
at-spi2-core 2.56.2-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.5-1
autoconf 2.72-1
autoconf-archive 1:2024.10.16-2
automake 1.18-1
avahi 1:0.8+r194+g3f79789-3
babl 0.1.114-1
base 3-2
base-devel 1-2
bash 5.2.037-5
bat 0.25.0-4
binutils 2.44+r94+gfe459e33c676-1
bison 3.8.2-8
blas 3.12.1-2
bluez-libs 5.83-1
brightnessctl 0.5.1-3
brotli 1.1.0-3
btop 1.4.3-3
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.113-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
cava 0.10.4-3
cbonsai 1.4.2-1
cbonsai-debug 1.4.2-1
cdparanoia 10.2-9
chromaprint 1.5.1-10
cmatrix 2.0-3
composefs 1.0.8-1
coreutils 9.7-1
cowsay 3.8.4-1
cryptsetup 2.8.0-1
curl 8.14.1-1
dav1d 1.5.1-1
